7000 17148 
58 6041 -1
58 1342 1
58 6617 -1
58 821 1
58 816 1
58 1866 1
58 4070 -1
58 1252 1
58 1374 1
59 3606 1
59 1902 1
59 3027 -1
59 5264 -1
60 4820 1
60 4680 1
60 6760 1
60 4467 1
60 2542 -1
60 1012 1
60 1526 -1
60 5633 1
60 6229 1
61 6812 -1
61 6374 -1
61 4275 1
61 97 -1
61 6360 1
61 4241 -1
61 5809 1
61 5360 -1
62 600 -1
62 1431 -1
62 3437 1
62 6238 1
62 6091 -1
63 4447 -1
63 4987 -1
63 3663 -1
63 5784 -1
63 3756 1
63 2520 -1
63 2357 -1
63 3500 1
63 333 1
64 3407 1
64 1429 -1
64 1365 1
64 1017 1
64 5518 -1
64 3064 1
64 5452 1
64 4555 -1
64 1844 1
65 830 -1
65 6333 1
65 5323 1
65 5008 -1
66 2861 -1
66 2683 1
66 859 1
66 6551 1
66 2885 1
67 535 -1
67 3755 -1
67 4718 -1
67 1224 -1
67 1097 1
67 4624 1
68 1214 -1
68 2311 1
68 2809 -1
68 622 -1
68 329 -1
68 4010 1
69 183 -1
69 3589 -1
69 2569 -1
69 3597 -1
70 2961 -1
70 5333 1
70 2865 -1
70 4823 -1
71 593 1
71 6170 1
71 5832 -1
71 4205 1
71 3084 -1
71 6791 1
72 1389 -1
72 2250 1
72 6331 -1
72 5226 1
72 6712 1
72 4739 -1
74 300 -1
74 319 1
74 3046 -1
74 2516 -1
75 1937 -1
75 5305 1
75 1467 1
76 5009 -1
76 4752 -1
76 923 -1
76 4515 -1
77 3374 1
77 1436 1
77 583 -1
77 3708 -1
77 2390 1
77 3373 -1
77 2384 -1
78 3075 1
78 795 1
78 4634 -1
78 5281 1
79 2739 1
79 2349 -1
79 5201 1
79 2059 1
79 4796 -1
79 3682 1
79 398 1
79 2071 -1
79 4498 1
79 3694 1
79 5150 -1
80 5789 1
80 6035 -1
80 4535 -1
80 1688 -1
80 6852 -1
80 3833 1
81 3601 -1
81 372 1
81 3141 1
82 4672 1
82 5488 -1
82 4388 1
82 4651 -1
82 3778 -1
82 2695 1
82 559 1
82 1049 1
83 2943 1
83 6475 1
83 2712 -1
84 6629 1
84 3268 -1
84 4833 -1
85 6616 -1
85 3942 1
85 646 1
85 5254 -1
85 6738 -1
85 6414 -1
85 2732 1
86 3715 -1
86 1384 -1
86 884 1
86 4764 1
86 5215 1
86 3368 -1
86 5116 -1
87 2398 1
87 2387 1
87 2103 -1
87 6726 1
87 5601 -1
88 1425 1
88 3808 1
89 5553 -1
89 1840 -1
89 96 -1
89 1544 1
89 3138 1
89 556 1
89 3238 -1
89 4488 1
90 5757 1
90 763 1
90 651 -1
90 4522 -1
91 2216 1
91 6486 -1
91 2345 -1
91 4175 1
92 4295 1
92 382 -1
92 6545 -1
92 839 -1
92 1429 -1
93 1128 1
93 4832 1
93 3396 1
93 6201 1
93 2500 1
93 4915 -1
94 4417 1
94 3300 1
94 4335 1
94 2269 1
94 2509 1
94 5883 1
95 932 1
95 5000 -1
95 5274 1
95 170 1
95 2720 -1
95 4610 -1
95 1965 1
96 4891 -1
96 366 -1
97 3525 1
97 5146 1
97 1954 1
97 1720 1
97 513 -1
97 2154 1
97 2013 1
97 6117 -1
97 3089 1
98 3080 -1
98 6605 -1
98 2978 -1
98 4325 1
99 6788 -1
99 786 1
99 2209 1
100 2945 -1
100 2715 -1
100 5687 -1
101 949 -1
101 3647 -1
101 726 1
101 2392 1
102 3807 1
102 5845 -1
102 2376 1
102 2703 1
103 2245 1
103 4227 -1
103 154 1
104 6488 -1
104 6221 1
105 3241 -1
105 3882 1
106 2001 -1
107 2729 -1
107 1243 1
107 2299 -1
107 2656 1
107 4019 1
107 6039 1
108 331 -1
108 5730 -1
108 584 1
109 4390 -1
109 4651 1
109 5100 -1
110 1060 1
110 5288 -1
110 2752 -1
110 1615 1
111 4210 1
111 6597 1
111 5163 -1
112 5495 -1
112 4464 1
113 3886 -1
113 1857 1
113 2322 1
113 2832 1
113 6576 -1
113 3956 1
113 2290 -1
113 4348 1
113 4246 -1
114 1561 1
114 3210 1
114 1022 -1
114 471 1
114 6892 -1
115 1477 1
115 5036 1
115 2779 1
115 2552 1
116 4013 1
116 3443 1
116 1910 -1
116 4352 -1
116 3771 -1
116 1165 1
116 6354 -1
116 3429 -1
117 5285 1
117 5170 -1
117 4413 1
117 5799 1
118 5924 -1
118 6915 1
118 1851 1
119 1234 -1
119 3815 1
119 4592 -1
119 6252 1
120 2674 -1
120 6968 -1
120 1760 -1
120 3759 1
121 721 1
121 6530 -1
121 407 1
121 1986 -1
122 1931 -1
122 5814 1
122 2138 1
122 5048 1
122 258 1
123 3044 -1
123 4225 -1
123 6364 -1
123 5417 1
123 4075 1
123 1961 1
124 2850 -1
124 4037 -1
124 1670 1
124 6562 1
125 1920 1
125 3056 1
125 4771 1
125 6830 1
126 5842 1
126 2400 1
126 2141 1
127 6592 1
127 3569 1
127 6976 -1
127 675 -1
127 6733 1
127 6144 1
127 1118 -1
127 1860 1
127 3307 1
127 5273 -1
128 6013 1
128 2583 -1
128 1399 1
129 3160 1
129 6221 1
129 2521 1
129 5459 1
129 5517 -1
129 3426 -1
129 1113 -1
129 3702 1
130 2593 1
130 4090 -1
130 2302 -1
130 6594 1
131 5599 1
131 1695 -1
131 5706 -1
131 5365 -1
131 6827 1
131 2778 1
132 2844 1
132 5872 1
132 1386 -1
133 2925 1
133 5247 1
133 1049 1
133 6311 1
133 3519 -1
134 5346 1
134 5751 -1
134 234 1
134 6723 -1
134 5990 1
134 2611 -1
134 6097 1
134 2503 1
135 2435 -1
135 4998 -1
135 3711 1
135 5663 -1
136 4696 -1
136 1626 1
136 3936 -1
136 3457 1
136 2901 -1
136 597 1
137 4294 -1
137 6188 -1
138 4322 -1
138 6502 -1
138 3459 -1
138 1527 -1
138 6356 1
138 2416 -1
138 1738 -1
138 4863 1
139 6938 1
139 6473 1
139 1247 -1
140 2146 -1
140 3683 1
140 715 -1
140 4012 -1
140 6802 -1
140 5332 -1
140 4753 1
141 4338 -1
141 5881 1
141 4108 1
141 843 -1
141 1947 -1
141 3204 1
141 3232 -1
141 5734 1
142 1359 -1
142 3136 -1
142 4812 1
143 3563 -1
143 4014 1
144 3033 1
144 780 -1
145 5278 -1
145 3110 1
145 287 1
145 1267 -1
145 4083 -1
145 3315 -1
145 557 -1
146 3820 1
146 3426 -1
146 4229 -1
146 4374 1
146 5195 -1
146 864 1
147 2958 -1
147 721 1
147 856 -1
147 531 -1
148 4149 1
148 2467 1
148 6195 -1
148 2319 -1
148 417 -1
148 2151 -1
148 2344 1
149 2924 1
149 2658 1
150 3299 -1
150 1134 -1
150 5014 -1
150 1545 -1
150 4540 1
151 1944 -1
151 6620 -1
151 5493 -1
151 5274 1
152 1798 -1
152 2710 1
152 334 1
152 3636 -1
153 756 1
153 4543 -1
153 4269 1
153 6965 1
153 6905 1
153 4167 -1
153 5495 -1
153 331 1
153 5056 1
154 1509 -1
154 3943 -1
155 5493 1
155 4226 -1
155 4191 -1
155 584 1
155 1194 -1
155 5819 1
156 4523 -1
156 5819 -1
156 6953 -1
156 5337 -1
156 1860 1
156 6309 1
157 3600 -1
157 4843 -1
157 3731 -1
157 735 -1
158 6250 -1
158 1051 1
158 477 -1
158 513 1
158 2060 1
158 6707 -1
158 6742 -1
159 6045 -1
159 2009 -1
159 3214 -1
159 3902 1
159 3325 -1
159 2225 -1
159 3570 1
159 6022 1
160 4978 1
160 4505 -1
160 1424 1
161 4423 -1
161 1895 -1
161 5041 -1
161 2465 1
161 4997 -1
162 5483 1
162 2703 -1
162 1847 -1
162 1013 1
162 5416 -1
162 5583 1
162 1632 -1
163 2432 -1
163 3725 1
163 275 1
163 4837 1
163 1870 1
164 4138 1
164 788 1
164 2465 1
164 308 1
164 5272 -1
164 1466 -1
165 4966 1
165 2665 -1
165 5210 1
165 526 -1
165 1942 1
165 4721 -1
166 5417 -1
166 4449 -1
166 6064 1
166 1766 -1
166 6134 -1
167 3180 -1
167 2154 -1
167 2806 1
167 5531 -1
167 3774 -1
167 6959 1
167 3629 1
167 5239 -1
167 2021 -1
168 1471 1
168 1461 1
168 4050 1
168 5071 -1
168 1668 1
169 3216 1
169 5346 1
169 3440 1
169 198 1
169 5543 -1
169 5755 -1
169 4498 -1
169 1422 -1
170 6680 1
171 5693 -1
171 2767 -1
172 6523 -1
172 6736 1
172 4465 1
173 3314 1
173 3426 1
173 2021 -1
173 4521 -1
173 4389 -1
174 4362 -1
174 3256 1
174 5439 1
175 1394 1
175 6587 -1
175 4270 -1
175 3233 1
175 1082 -1
175 518 1
175 833 -1
175 1522 1
176 3913 1
176 219 -1
176 6035 1
176 2239 -1
176 6696 1
176 3570 -1
176 3237 -1
176 2219 1
177 897 1
177 4879 -1
177 2317 -1
177 2283 1
177 554 -1
178 1826 -1
178 4254 -1
178 4977 -1
178 3995 -1
178 1712 1
179 4882 1
179 3866 -1
180 1434 1
180 2618 -1
180 691 -1
181 4092 1
181 6914 -1
181 1537 -1
181 4284 -1
182 1901 -1
182 1992 -1
183 4252 -1
183 2396 -1
183 1560 1
183 2412 -1
183 5090 1
183 5320 -1
183 3347 -1
183 4658 -1
184 3223 -1
184 4563 -1
184 3565 -1
184 5307 -1
184 6002 -1
185 2271 1
185 1388 -1
185 2427 1
186 2956 -1
186 6627 -1
186 584 -1
186 2305 1
186 2145 1
186 6676 1
187 1943 1
187 2284 -1
187 6406 1
188 2345 1
188 4624 1
188 5917 -1
188 4344 -1
189 3063 -1
189 5815 -1
189 1290 -1
190 1144 1
190 2206 1
190 2235 1
190 4259 1
190 3078 -1
190 2948 1
191 625 -1
191 5566 1
191 2447 1
191 4821 1
191 1019 1
191 1473 1
191 714 1
192 3595 -1
192 3927 1
192 2783 1
192 6614 1
192 2419 -1
193 3009 -1
193 955 -1
193 3840 1
193 2300 -1
193 6019 1
193 2066 -1
193 5746 1
194 4848 1
194 2717 1
194 2575 1
195 3245 1
195 3648 1
195 3107 1
195 2478 1
196 5149 -1
196 1802 1
196 6220 -1
196 2577 -1
196 1493 -1
197 6462 -1
197 3745 -1
197 2280 1
197 3445 1
197 5589 1
197 5476 -1
198 4535 1
198 3672 1
198 745 1
198 2671 1
198 1604 -1
198 6509 1
198 2758 -1
198 310 1
199 1559 -1
199 3612 1
199 5288 1
199 3948 1
199 5394 1
199 1231 -1
199 1989 1
199 2140 -1
199 4638 -1
200 1066 1
200 1133 -1
200 6707 1
200 6537 1
200 259 1
200 412 1
201 4359 1
201 6186 -1
201 6823 -1
202 6140 -1
203 903 1
203 5996 1
203 4420 -1
203 2177 1
204 5403 1
204 359 -1
204 4523 1
206 2369 1
206 4670 1
206 2453 -1
206 5403 -1
206 1062 -1
207 298 -1
207 658 -1
207 2842 -1
207 4824 1
207 231 1
207 1318 1
208 2130 1
208 579 1
208 2184 1
208 1125 -1
208 1807 1
208 6069 -1
208 1460 -1
208 3972 1
209 2452 -1
209 1042 1
209 3713 1
209 3349 1
209 1562 1
209 738 1
210 5379 -1
210 6666 -1
210 6019 1
211 6906 1
211 3776 1
211 625 1
211 4164 1
211 740 -1
211 1604 -1
211 2503 1
212 2251 -1
212 386 1
213 2258 1
213 1699 -1
213 6661 1
213 4770 -1
213 5142 1
214 2352 -1
214 4142 1
214 927 1
214 3275 -1
214 2276 -1
214 5205 -1
215 5429 -1
215 5726 -1
215 3458 1
215 5404 1
215 5348 -1
215 1780 1
215 3724 -1
215 5398 -1
215 4951 1
215 4100 1
216 4063 1
216 1048 -1
216 4210 1
216 5204 -1
216 879 -1
217 3610 -1
217 4984 -1
217 562 -1
217 4376 1
217 5480 -1
217 1827 -1
217 6919 -1
217 2054 1
217 5629 1
217 6190 -1
218 6803 -1
218 5958 -1
218 2224 1
218 716 1
218 2808 -1
219 4262 1
219 5243 1
219 1717 1
219 6742 1
219 6230 1
219 4703 -1
219 5297 1
219 6920 -1
219 2559 -1
219 550 1
219 5986 1
220 3857 1
220 3529 -1
220 3452 1
221 6723 1
221 5057 -1
221 378 -1
221 5251 1
221 1550 -1
222 5440 1
222 6099 -1
222 4570 -1
222 3061 -1
222 4876 1
222 3496 -1
223 2592 -1
223 481 1
223 5343 1
223 1190 -1
224 5539 1
224 5626 -1
224 1768 1
224 2672 1
225 1574 1
225 2836 1
225 3179 1
225 251 -1
225 3441 -1
226 4415 -1
226 4210 -1
226 2943 1
226 3604 1
226 1156 -1
226 4190 1
227 331 -1
227 232 1
227 1362 -1
228 2526 1
228 6891 -1
228 5666 -1
228 5002 -1
228 4869 -1
228 6994 1
228 6503 1
229 2000 -1
229 2936 -1
229 638 1
229 4871 -1
229 3212 -1
230 3784 -1
231 1199 -1
231 2987 1
231 6398 -1
231 3491 -1
231 5333 1
231 2064 1
232 5017 -1
232 4348 -1
232 3164 -1
232 3751 1
232 1845 -1
232 3374 -1
233 3891 1
233 5360 -1
234 6638 -1
234 1091 -1
234 1048 -1
234 3066 -1
235 4514 -1
236 2906 1
236 4273 -1
236 771 1
236 5409 1
236 3364 1
236 5658 -1
237 4899 -1
237 3985 -1
237 256 -1
237 5168 -1
237 3280 -1
238 2440 1
238 5713 1
239 2322 1
239 5018 -1
239 673 1
240 6760 -1
240 566 -1
241 6101 1
241 5550 1
241 5157 -1
241 4713 -1
242 665 -1
242 6586 -1
242 2826 -1
243 2820 -1
243 4238 1
243 1533 -1
243 6952 -1
243 2199 1
243 2686 1
244 322 1
244 5155 1
244 6651 1
244 1877 1
244 6532 -1
245 3024 1
245 4763 1
245 3034 -1
245 3904 1
245 6536 1
246 3806 1
246 1594 1
246 6082 -1
246 2924 -1
246 6745 1
246 6753 -1
247 4296 1
247 353 -1
247 6467 -1
247 587 1
247 1980 -1
247 2427 1
247 4954 -1
248 3763 1
248 647 1
248 4014 -1
248 1078 1
248 873 1
248 6421 -1
249 3843 1
249 3851 -1
249 3872 -1
249 3684 1
249 4123 -1
249 6526 -1
250 3077 1
250 2731 -1
250 4146 1
250 4700 1
252 2588 -1
253 4229 -1
253 1776 -1
253 361 1
253 3790 -1
253 1777 1
253 5855 1
253 4109 1
254 6376 1
255 2284 -1
255 3399 1
255 2219 1
255 6108 -1
255 2532 1
256 2460 1
256 5097 -1
256 2514 -1
256 3618 1
256 5953 1
256 2272 -1
257 2728 -1
257 993 1
257 3516 -1
258 2139 1
258 1461 1
258 642 -1
258 5320 -1
259 4476 -1
259 5936 1
259 4939 1
260 6951 1
260 2126 1
260 5672 1
260 3022 -1
260 321 1
261 6857 -1
261 5829 -1
261 3551 1
261 5937 -1
262 3184 1
262 2107 1
262 3381 -1
263 2210 -1
263 780 1
263 2186 -1
264 6068 -1
264 6472 1
264 4406 1
264 2501 -1
265 6477 1
265 1722 1
265 916 -1
265 6834 -1
265 1675 -1
266 2668 1
266 2663 -1
266 4976 -1
266 2781 1
267 5911 -1
267 6556 1
267 2222 1
267 3314 1
268 3267 -1
268 4169 -1
268 2535 -1
269 2313 1
269 3576 1
269 1430 1
269 5426 1
269 2856 -1
270 420 -1
270 3906 1
270 5446 -1
270 4548 -1
270 6698 1
271 5293 1
271 3868 -1
271 6653 1
271 5029 -1
271 3842 -1
272 4823 -1
272 2794 1
273 533 1
274 3496 1
274 3060 -1
274 6005 -1
274 1743 1
274 605 1
274 6304 -1
275 2354 -1
275 2401 -1
275 5055 1
275 582 -1
276 650 1
276 2726 -1
276 3370 1
276 2962 1
276 2296 1
276 6406 1
276 4189 1
277 6504 1
277 3019 1
277 4342 1
277 4631 1
278 824 -1
278 3483 1
278 4993 1
278 948 1
278 1232 -1
279 4439 1
279 6602 1
279 6969 -1
279 3227 -1
279 2886 1
279 464 -1
279 2332 1
280 6481 -1
280 4841 1
280 4311 1
280 3017 1
281 5344 1
281 3146 -1
281 594 1
281 1125 -1
281 1754 1
282 1697 -1
282 973 -1
282 872 -1
282 1557 -1
282 570 1
283 2701 1
283 4057 1
283 2808 -1
283 5600 -1
283 1262 1
283 3435 -1
284 6866 1
284 1498 1
284 1119 1
284 6236 -1
284 3410 1
285 4249 1
285 586 1
285 2734 1
286 5667 -1
286 5137 1
286 4088 -1
286 6588 1
287 5436 1
287 1095 -1
287 5597 1
287 3295 -1
287 683 -1
287 3708 -1
287 1524 -1
287 6729 1
288 3395 1
288 4449 -1
288 4616 1
288 6885 -1
288 2421 -1
289 3708 -1
289 1328 -1
289 3723 1
289 3951 1
289 3149 1
289 1582 -1
289 1879 -1
290 4722 1
290 5384 -1
290 4618 1
290 6471 -1
290 4296 1
290 5219 -1
291 454 -1
291 4711 -1
291 350 1
291 4871 -1
291 6963 1
291 4054 1
291 2134 1
292 2464 -1
292 514 1
292 2477 -1
293 4256 -1
293 6484 1
293 5116 1
293 4406 1
293 4178 -1
294 6844 -1
294 1982 -1
294 1115 -1
294 5118 -1
294 4080 -1
294 4723 -1
295 1654 -1
295 3568 -1
296 2661 1
296 4350 1
297 4071 1
297 6801 1
297 1295 1
297 2313 1
298 3303 -1
298 5210 1
298 6944 -1
298 1727 1
298 6282 -1
298 3226 1
299 5756 -1
299 3198 -1
299 1329 1
299 3813 -1
299 6642 1
299 1153 -1
300 1940 1
300 989 -1
300 448 -1
300 5091 -1
300 4330 1
300 4312 1
300 1950 -1
300 5838 1
300 347 1
301 2350 -1
301 5344 -1
301 901 1
301 6708 -1
302 4999 1
303 2631 1
303 6451 -1
303 2768 -1
304 866 -1
304 5192 -1
304 2508 -1
305 2023 -1
305 3779 -1
305 6428 -1
305 5667 1
306 4106 1
306 2223 -1
306 2172 -1
306 5791 1
306 4669 -1
307 2575 -1
307 4221 -1
307 3052 1
307 5324 -1
307 2543 -1
308 2174 1
308 3800 1
308 1343 1
308 1846 1
308 2934 1
308 6017 -1
309 2739 1
309 2088 -1
309 6430 1
309 4898 1
309 2152 1
309 5562 -1
310 6548 1
310 430 1
310 5345 1
310 1410 1
311 5443 1
311 4301 -1
311 4288 -1
311 6958 -1
311 1121 -1
311 1469 1
311 601 1
311 2867 1
312 4387 1
312 2650 1
312 1779 1
312 3830 1
312 2025 -1
313 3971 1
313 4661 -1
314 951 1
314 1054 1
314 1625 -1
314 4950 -1
314 4004 1
314 3098 1
314 1489 1
315 1786 -1
315 5691 -1
315 6996 1
316 918 -1
316 1945 1
316 6373 1
316 2311 -1
317 3164 -1
317 6991 1
317 2627 1
318 4426 1
318 2671 -1
318 1507 -1
318 1412 1
318 3480 1
318 3287 -1
319 6465 -1
319 1987 1
319 6488 -1
319 366 -1
319 2238 1
320 2510 -1
320 652 1
320 3198 1
320 2389 -1
320 6047 -1
321 4799 1
321 6008 -1
321 5489 1
321 3381 1
322 4612 1
322 1449 1
322 3933 1
322 2973 1
322 6059 -1
323 952 -1
323 490 -1
323 2586 1
324 6962 -1
324 6157 1
324 5148 -1
324 339 -1
324 3661 -1
324 2894 -1
325 6706 1
325 2356 1
325 533 -1
325 3869 1
326 2514 1
326 3726 -1
326 3830 1
326 5652 -1
326 981 1
326 6547 1
326 697 -1
327 6197 1
327 5015 1
327 4136 -1
327 2778 -1
329 4455 1
329 6122 1
329 1180 -1
329 6501 1
330 1152 -1
330 700 1
330 5273 1
330 6289 1
331 5841 1
331 6441 -1
331 342 1
331 4531 1
332 6380 1
332 4608 -1
332 3799 1
333 3470 1
333 5704 -1
333 5651 -1
333 4124 -1
333 2851 1
333 1151 1
333 961 1
333 6058 1
334 6792 -1
334 6463 -1
334 6942 -1
334 1997 -1
334 5372 1
335 5601 1
335 4044 -1
335 3700 -1
335 2484 1
336 4661 1
336 2714 1
336 4826 -1
336 6596 1
336 3467 1
336 5263 1
337 6492 1
337 3203 1
337 4050 -1
338 1105 1
338 2795 -1
339 2465 -1
340 6712 1
340 6633 1
340 6970 -1
340 3681 1
340 1116 -1
340 1519 1
341 691 -1
341 4357 1
342 6989 -1
342 6574 -1
342 604 -1
343 3207 -1
343 6701 -1
343 5080 -1
343 1786 1
343 4997 -1
344 1854 1
344 2612 1
345 435 1
345 4785 1
345 2541 1
345 3075 -1
345 2798 -1
345 6397 1
346 956 -1
346 2688 1
346 815 1
346 971 1
346 5521 1
346 5774 -1
347 6156 -1
347 2833 -1
347 5044 1
347 2238 -1
348 5416 -1
348 3453 1
348 2806 1
349 4356 -1
349 4237 -1
349 6437 -1
349 5173 -1
349 2911 -1
349 6960 -1
350 4834 -1
350 3693 1
350 6451 1
350 1734 1
350 4451 -1
351 3076 -1
351 4772 -1
351 2523 -1
352 4853 -1
352 6043 1
352 2152 1
352 6856 -1
353 4809 -1
353 5940 1
354 382 -1
354 1015 -1
354 1415 -1
354 1004 1
354 5954 -1
354 3066 -1
354 4408 -1
355 4891 -1
355 2493 1
355 2219 1
356 605 -1
356 3842 -1
356 1383 -1
356 2646 -1
356 4805 1
356 5528 1
356 2053 1
356 6619 1
357 1456 -1
357 4364 -1
357 2381 1
357 3787 -1
357 838 1
358 3426 -1
358 3422 -1
358 5755 1
358 5525 -1
358 4478 -1
358 1935 -1
359 6238 1
359 5304 -1
359 6879 -1
359 3749 1
360 6485 1
360 1421 -1
360 1570 -1
361 393 1
361 3554 -1
361 3887 -1
361 6197 -1
361 5602 -1
361 1998 -1
362 5693 1
362 3377 -1
362 6215 1
362 2494 1
362 1365 -1
362 2673 -1
363 5541 1
363 4041 1
363 1525 1
363 6361 1
363 985 -1
363 2016 1
364 5237 1
364 6853 -1
364 409 1
364 2547 1
364 6709 -1
365 6049 -1
365 2414 1
365 979 1
366 3442 -1
367 2571 -1
367 6202 -1
367 1911 1
367 4962 -1
368 4023 1
368 1502 -1
368 4909 1
368 3279 -1
368 986 -1
368 6038 1
369 4791 1
369 1789 -1
369 2511 -1
369 2284 -1
370 727 1
370 6118 -1
370 2706 -1
370 5964 1
370 4147 1
371 5592 1
371 6408 -1
371 5737 1
371 4466 1
371 1918 -1
372 6156 1
372 3646 1
372 6558 1
372 6602 -1
372 5483 1
372 4531 -1
373 2030 -1
373 860 1
374 3408 1
374 5800 -1
374 2258 1
374 5201 -1
374 5980 -1
374 1258 -1
374 6603 1
375 6530 1
375 6017 1
375 5506 1
376 2388 -1
376 2782 -1
376 2715 1
376 797 -1
376 466 1
377 2624 1
377 1670 1
377 2439 1
377 1188 -1
378 664 -1
378 3597 1
378 3383 1
378 2088 -1
378 2455 -1
378 847 -1
379 2547 -1
379 954 -1
379 3814 1
380 5483 1
380 5538 1
380 2245 1
380 5147 1
380 2507 -1
381 2148 -1
381 6608 1
381 6269 1
381 1353 1
382 4829 1
382 705 -1
382 6506 1
382 6970 -1
383 2807 -1
384 6189 -1
384 6656 -1
384 2815 -1
384 1721 -1
385 3813 -1
385 2243 -1
385 5306 -1
385 569 1
385 4471 -1
385 857 -1
386 4061 1
386 5276 -1
386 3870 1
386 3413 1
386 5986 1
387 5346 1
387 4675 1
387 6621 1
387 1343 1
388 6676 1
388 3074 1
388 1642 -1
389 4616 -1
389 5650 1
389 1825 1
389 4301 -1
389 4095 -1
389 2233 -1
390 2941 1
390 2728 -1
390 5400 1
390 3540 -1
390 6537 1
390 6698 1
390 5940 -1
391 3298 1
391 405 1
391 762 1
391 3242 1
391 4222 -1
392 5651 -1
392 2565 1
392 5029 1
393 816 -1
393 6447 -1
394 1826 1
394 3151 1
394 1388 1
394 2439 1
395 5339 1
395 5100 -1
395 5481 1
395 5271 -1
395 3813 1
395 5382 -1
395 6775 -1
395 6453 1
395 6986 -1
395 5290 1
396 968 1
396 3488 1
396 2704 1
396 2310 1
396 3724 -1
397 4275 1
397 4682 -1
397 2758 -1
397 2075 1
397 5099 1
398 4622 1
398 1089 1
399 5059 -1
399 4716 -1
399 3479 1
399 6115 1
400 1160 1
400 3712 1
400 1301 -1
400 2034 -1
401 2869 1
401 5825 -1
401 1300 1
401 6471 -1
401 2575 1
401 3393 1
402 5637 -1
402 638 1
402 5496 -1
402 4050 1
402 3221 1
403 4295 1
403 6766 -1
403 477 1
403 3194 -1
404 5906 1
404 5136 -1
404 2049 1
404 6448 -1
404 3491 -1
404 6443 -1
404 5181 1
